// REGULAR

anbauen, (to plant), er baut an, er baute an, er hat angebaut
aufräumen, (to clean), er räumt auf, er räumte auf, er hat aufgeräumt

irren sich, (to be wrong), er irrt sich, er irrte sich, er hat sich geirrt
bügeln, (to iron), er bügelt, er bügelte, er hat gebügelt
dienen, (to serve), es dient, es diente, es hat gedient
steigern, (to raise/grow), er steigert, er steigerte, er hat gesteigert
teilen, (to divide (something)), er teilt, er teilte, er hat geteilt
wohnen, (to live), er wohnt, er wohnte, er hat gewohnt
wünschen, (to wish), er wünscht, er wünschte, er hat gewünscht


// SEMI-REGULAR

beurteilen, (to judge), er beurteilt, er beurteilte, er hat beurteilt

erholen sich, (to recover), er erholt sich, er erholte sich, er hat sich erholt
ernähren sich, (to feed on), er ernährt sich, er ernährte sich, er hat sich ernährt
ermöglichen, (to enable), er ermöglicht, er ermöglichte, er hat ermöglicht
verfeinern, (to refine), er verfeinert, er verfeinerte, er hat verfeinert
zubereiten, (to prepare), er bereitet zu, er bereitete zu, er hat zubereitet

servieren, (to serve), er serviert, er servierte, er hat serviert
tapezieren, (to wallpaper), er tapeziert, er tapezierte, er hat tapeziert


// IRREGULAR

abwaschen, (to wash (the dishes)), er wäscht ab, er wusch ab, er hat abgewaschen
anschließen, (to connect), er schließt an, er schloß an, er hat angeschlossen
beitreten, (to join (a club)), er tritt bei, er trat bei, er ist beigetreten
wahrnehmen, (to notice), er nimmt wahr, er nahm wahr, er hat wahrgenommen

versprechen, (to promise), er verspricht, er versprach, er hat versprochen
schneiden, (to cut), er schneidet, er schnitt, er hat geschnitten
streichen, (to paint), er streicht, er strich, er hat gestrichen
waschen, (to wash), er wäscht, er wusch, er hat gewaschen


