// REGULAR

// base
achten (auf), (to respect / pay heed to), er achtet, er achtete, er hat geachtet
planen, (to project/plan), er plant, er plante, er hat geplant
prüfen, (to check/test), er prüft, er prüfte, er hat geprüft
streicken (für/gegen), (to strike (for/against)), er streikt, er streikte, er hat gestreikt

// w/ sep prefix
ausschalten, (to turn off), er schaltet aus, er schaltete aus, er hat ausgeschaltet



// SEMI-REGULAR

// w/ unsep prefix
benutzen, (to use), er benutzt, er benutzte, er hat benutzt
berichten (über), (to give an account of / to cover), er berichtet, er berichtete, er hat berichtet
beschäftigen sich (mit), (to keep (oneself) busy (with)), er beschäftigt sich, er beschäftigte sich, er hat sich beschäftigt
beschützen, (to shelter/protect), er beschützt, er beschützte, er hat beschützt
erhöhen, (to increase), er erhöht, er erhöhte, er hat erhöht
erklären, (to explain), er erklärt, er erklärte, er hat erklärt
eröffnen, (to open), er eröffnet, er eröffnete, er hat eröffnet
ertönen, (to sound), es ertönt, es ertönte, es ist ertönt
untersuchen, (to examine/analyse), er untersucht, er untersuchte, er hat untersucht
verbrauchen, (to consume), er verbraucht, er verbrauchte, er hat verbraucht
verdoppeln sich, (to double), er verdoppelt sich, er verdoppelte sich, er hat sich verdoppelt
verheimlichen, (to hide), er verheimlicht, er verheimlichte, er hat verheimlicht
vermissen, (to miss), er vermisst, er vermisste, er hat vermisst
verzichten (auf), (to pass (up) / to forgo), er verzichtet, er verzichtete, er hat verzichtet

// -ieren verbs
sanieren, (to rehabilitate), er saniert, er sanierte, er hat saniert



// IRREGULAR

// w/ sep prefix
abnehmen, (to take (something) off), er nimmt ab, er nahm ab, er hat abgenommen
aufladen, (to charge), er lädt auf, er lud auf, er hat aufgeladen

// w/ unsep prefix
erscheinen, (to appear / to be released), es erscheint, es erschien, es ist erschienen
erfinden, (to invent), er erfindet, er erfand, er hat erfunden
unterbieten, (to undercut (offer at a lower price)), er unterbietet, er unterbot, er hat unterboten
unterbrechen, (to interrupt), er unterbricht, er unterbrach, er hat unterbrochen
verschlafen, (to oversleep), er verschläft, er verschlief, er hat verschlafen


