reichen, (to be enough), er reicht, er hat ???,
tragen, (to wear), er trägt, er trüge, er hat ???,
arbeiten, (to work), er arbeitet, er arbeitete, er hat ???,
sehen, (to see), er sieht, er sähe, er hat ???,
bezahlen, (to pay), er bezahlt, er bezahlte, er hat ???,
schlafen, (to sleep), er schläft, er schliefe, er hat ???,
lesen, (to read), er liest, er läse, er hat ???,
rennen, (to run), er rennt, er rennte, er ??? ???,
kennen, (to be familiar with), er kennt, er kennte, er hat ???,
hoffen, (to hope), er hofft, er hoffte, er hat ???,
ersetzen, (to replace), er ersetzt, er ersetzte, er ??? ???,
ändern, (to change), er ändert, er änderte, er hat ???,
passen, (to fit), er passt, er passte, er hat ???,
gehören, (to belong to), er gehört, er gehörte, er hat ???,
folgen, (to follow), er folgt, er folgte, er ??? ???,
danken, (to thank), er dankt, er dankte, er hat ???,
schmecken, (to taste (good)), er schmeckt, er schmeckte, er hat ???,
brauchen, (to need), er braucht, er brauchte, er hat ???,
fehlen, (to miss (something else)), er fehlt, er fehlte, er hat ???,
bluten, (to bleed), er blutet, er blutete, er hat ???,
prüfen, (to test), er prüft, er prüfte, er hat ???,
träumen, (to dream), er träumt, er träumte, er hat ???,
benutzen, (to use), er benutzt, er benutzte, er hat ???,
treffen, (to meet), er trifft, er träfe, er hat ???,
warten, (to wait), er wartet, er wartete, er hat ???,
erlauben, (to allow), er erlaubt, er erlaubte, er hat ???,
wissen, (to know (a fact)), er weiß, er wüsste, er hat ???,
singen, (to sing), er singt, er sänge, er hat ???,
sammeln, (to collect), er sammelt, er sammelte, er hat ???,
lachen, (to laugh), er lacht, er lachte, er hat ???,
heißen, (to be named), er heißt, er heiße, er hat ???,
buchen, (to book (something)), er bucht, er buchte, er hat ???,
bestätigen, (to confirm), er bestätigt, er bestätigte, er hat ???
mieten, (to rent), er mietet, er mietete, er hat ???
wecken, (to wake up), er weckt, er weckte, er hat ???
mitmachen, (to participate), er ???, er ???, er hat ???
teilnehmen, (to take part), er nimmt teil, er nahm teil, er hat ???
tun, (to do), er tut, er tat, er hat ???
aussagen, (to testify), er sagt aus, er sagte aus, er hat ???
entscheiden, (to decide), er entscheidet, er entschied, er hat ???
vorstellen, (to introduce), er stellt vor, er stellte vor, er hat ???
betrachten, (to look at), er betrachtet, er betrachtete, er hat ???
