// ==========================================
// MODAL VERBS
// ==========================================

dürfen, (to be allowed to), er darf, er durfte, er hat gedurft
können, (to be able to), er kann, er konnte, er hat gekonnt
müssen, (to have to), er muss, er musste, er hat gemusst
sollen, (to be supposed to), er soll, er sollte, er hat gesollt
wollen, (to want), er will, er wollte, er hat gewollt
mögen, (to like), er mag, er mochte, er hat gemocht


// ==========================================
// HELPING VERBS
// ==========================================

sein, (to be), er ist, er war, er ist gewesen
haben, (to have), er hat, er hatte, er hat gehabt
werden, (to become), er wird, er wurde, er ist geworden


// ==========================================
// REGULAR VERBS
// ==========================================

// base verbs
achten (auf), (to respect / pay heed to), er achtet, er achtete, er hat geachtet
bauen, (to build), er baut, er baute, er hat gebaut
bügeln, (to iron), er bügelt, er bügelte, er hat gebügelt
dienen, (to serve), es dient, es diente, es hat gedient
drücken, (to shake), er drückt, er drückte, er hat gedrückt
fragen, (to ask), er fragt, er fragte, er hat gefragt
führen, (to lead/guide), er führt, er führte, er hat geführt
irren sich, (to be wrong), er irrt sich, er irrte sich, er hat sich geirrt
kochen, (to cook), er kocht, er kochte, er hat gekocht
lernen, (to learn), er lernt, er lernte, er hat gelernt
machen, (to do), er macht, er machte, er hat gemacht
planen, (to project/plan), er plant, er plante, er hat geplant
prüfen, (to test), er prüft, er prüfte, er hat geprüft
reden, (to speak), er redet, er redete, er hat geredet
sagen, (to say), er sagt, er sagte, er hat gesagt
sparen, (to save), er spart, er sparte, er hat gespart
spielen, (to play), er spielt, er spielte, er hat gespielt
steigern, (to raise/grow), er steigert, er steigerte, er hat gesteigert
stellen, (to put/place/stand), er stellt, er stellte, er hat gestellt
streicken (für/gegen), (to strike (for/against)), er streikt, er streikte, er hat gestreikt
suchen, (to search for), er sucht, er suchte, er hat gesucht
teilen, (to share/divide), er teilt, er teilte, er hat geteilt
wohnen, (to live), er wohnt, er wohnte, er hat gewohnt
wünschen, (to wish), er wünscht, er wünschte, er hat gewünscht

// w seperable prefix
anbauen, (to plant), er baut an, er baute an, er hat angebaut
aufräumen, (to clean), er räumt auf, er räumte auf, er hat aufgeräumt
aussagen, (to testify), er sagt aus, er sagte aus, er hat ausgesagt
ausschalten, (to turn off), er schaltet aus, er schaltete aus, er hat ausgeschaltet
vorstellen, (to introduce), er stellt vor, er stellte vor, er hat vorgestellt

// w unseperable prefix


// ==========================================
// SEMI-REGULAR VERBS (Partizip ohne ge-)
// ==========================================

// w seperable prefix
wiederholen, (to repeat), er holt wieder, er holte wieder, er hat wiederholt
zubereiten, (to prepare), er bereitet zu, er bereitete zu, er hat zubereitet

// w unseperable prefix
beantworten, (to answer), er beantwortet, er beantwortete, er hat beantwortet
benutzen, (to use), er benutzt, er benutzte, er hat benutzt
berichten (über), (to give an account of / to cover), er berichtet, er berichtete, er hat berichtet
beschäftigen sich (mit), (to keep oneself busy (with)), er beschäftigt sich, er beschäftigte sich, er hat sich beschäftigt
beschützen, (to shelter/protect), er beschützt, er beschützte, er hat beschützt
bestellen, (to order), er bestellt, er bestellte, er hat bestellt
besuchen, (to visit), er besucht, er besuchte, er hat besucht
betrachten, (to look at / observe), er betrachtet, er betrachtete, er hat betrachtet
beurteilen, (to judge), er beurteilt, er beurteilte, er hat beurteilt
erhöhen, (to increase), er erhöht, er erhöhte, er hat erhöht
erholen sich, (to recover), er erholt sich, er erholte sich, er hat sich erholt
erklären, (to explain), er erklärt, er erklärte, er hat erklärt
ermöglichen, (to enable), er ermöglicht, er ermöglichte, er hat ermöglicht
ernähren sich, (to feed on), er ernährt sich, er ernährte sich, er hat sich ernährt
eröffnen, (to open), er eröffnet, er eröffnete, er hat eröffnet
ersetzen, (to replace), er ersetzt, er ersetzte, er hat ersetzt
ertönen, (to sound), es ertönt, es ertönte, es ist ertönt
erzählen, (to tell), er erzählt, er erzählte, er hat erzählt
unterstützen, (to support), er unterstützt, er unterstützte, er hat unterstützt
untersuchen, (to examine/analyse), er untersucht, er untersuchte, er hat untersucht
verbessern, (to improve/correct), er verbessert, er verbesserte, er hat verbessert
verbrauchen, (to use/consume), er verbraucht, er verbrauchte, er hat verbraucht
verdoppeln sich, (to double), er verdoppelt sich, er verdoppelte sich, er hat sich verdoppelt
verfeinern, (to refine), er verfeinert, er verfeinerte, er hat verfeinert
verheimlichen, (to hide), er verheimlicht, er verheimlichte, er hat verheimlicht
vermissen, (to miss), er vermisst, er vermisste, er hat vermisst
veröffentlichen, (to publish), er veröffentlicht, er veröffentlichte, er hat veröffentlicht
verkaufen, (to sell), er verkauft, er verkaufte, er hat verkauft
verletzen, (to injure), er verletzt, er verletzte, er hat verletzt
verzichten (auf), (to pass (up) / to forgo), er verzichtet, er verzichtete, er hat verzichtet

// -ieren verbs
abonnieren, (to subscribe to), er abonniert, er abonnierte, er hat abonniert
akzeptieren, (to accept), er akzeptiert, er akzeptierte, er hat akzeptiert
diskutieren, (to discuss), er diskutiert, er diskutierte, er hat diskutiert
fotografieren, (to photograph), er fotografiert, er fotografierte, er hat fotografiert
funktionieren, (to function), er funktioniert, er funktionierte, er hat funktioniert
gratulieren, (to congratulate), er gratuliert, er gratulierte, er hat gratuliert
informieren, (to inform), er informiert, er informierte, er hat informiert
irritieren, (to irritate), er irritiert, er irritierte, er hat irritiert
passieren, (to happen), er passiert, er passierte, er ist passiert
registrieren, (to register), er registriert, er registrierte, er hat registriert
sanieren, (to rehabilitate), er saniert, er sanierte, er hat saniert
servieren, (to serve), er serviert, er servierte, er hat serviert
sortieren, (to sort), er sortiert, er sortierte, er hat sortiert
spazieren, (to walk), er spaziert, er spazierte, er ist spaziert
studieren, (to study / major in), er studiert, er studierte, er hat studiert
tapezieren, (to wallpaper), er tapeziert, er tapezierte, er hat tapeziert
zitieren, (to cite/quote), er zitiert, er zitierte, er hat zitiert


// ==========================================
// SEMI-REGULAR VERBS (Partizip mit -en)
// ==========================================

backen, (to bake), er backt, er backte, er hat gebacken


// ==========================================
// IRREGULAR VERBS
// ==========================================

// base verbs
beginnen, (to begin), er beginnt, er begann, er hat begonnen
beißen, (to bite), er beißt, er biss, er hat gebissen
betrügen, (to deceive/cheat), er betrügt, er betrog, er hat betrogen
biegen, (to bend/turn), er biegt, er bog, er ist gebogen
bieten, (to offer/bid), er bietet, er bot, er hat geboten
binden, (to tie), er bindet, er band, er hat gebunden
bitten, (to request), er bittet, er bat, er hat gebeten
blasen, (to blow / be windy), er bläst, er blies, er hat geblasen
bleiben, (to stay/remain), er bleibt, er blieb, er ist geblieben
braten, (to roast), er brät, er briet, er hat gebraten
brechen, (to break), er bricht, er brach, er hat gebrochen
brennen, (to burn), er brennt, er brannte, er hat gebrannt
bringen, (to bring), er bringt, er brachte, er hat gebracht
denken, (to think), er denkt, er dachte, er hat gedacht
empfehlen, (to recommend), er empfiehlt, er empfahl, er hat empfohlen
essen, (to eat), er isst, er aß, er hat gegessen
